,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
5358,I am Rich!,FINANCE,3.8,93,22M,"1,000+",Paid,$399.99,Everyone,Finance,"December 11, 2017",1.0,4.1 and up
5359,I am rich(premium),FINANCE,3.5,472,965k,"5,000+",Paid,$399.99,Everyone,Finance,"May 1, 2017",3.4,4.4 and up
5360,I am Rich Person,LIFESTYLE,4.2,134,1.8M,"1,000+",Paid,$37.99,Everyone,Lifestyle,"July 18, 2017",1.0,4.0.3 and up
5361,I am Rich Premium Plus,FINANCE,4.6,459,2.0M,"10,000+",Paid,$18.99,Everyone,Finance,"February 17, 2018",1.1,4.0.3 and up
5362,I Am Rich Pro,FAMILY,4.4,201,2.7M,"5,000+",Paid,$399.99,Everyone,Entertainment,"May 30, 2017",1.54,1.6 and up
5364,I am rich (Most expensive app),FINANCE,4.1,129,2.7M,"1,000+",Paid,$399.99,Teen,Finance,"December 6, 2017",2,4.0.3 and up
5366,I Am Rich,FAMILY,3.6,217,4.9M,"10,000+",Paid,$389.99,Everyone,Entertainment,"June 22, 2018",1.5,4.2 and up
5367,I am Bread,GAME,4.0,630,20M,"10,000+",Paid,$4.99,Everyone,Adventure,"October 26, 2016",1.6.1,4.4 and up
5369,I am Rich,FINANCE,4.3,180,3.8M,"5,000+",Paid,$399.99,Everyone,Finance,"March 22, 2018",1.0,4.2 and up
5371,I am Millionaire - Richest guy in the town,LIFESTYLE,3.6,126,1.4M,"5,000+",Paid,$2.49,Everyone,Lifestyle,"June 22, 2018",8,4.1 and up
5373,I AM RICH PRO PLUS,FINANCE,4.0,36,41M,"1,000+",Paid,$399.99,Everyone,Finance,"June 25, 2018",1.0.2,4.1 and up
5411,The Hunt for the Lost Treasure,FAMILY,4.6,7148,8.1M,"100,000+",Paid,$2.99,Everyone,Adventure;Brain Games,"September 13, 2017",1.8,4.0.3 and up
5412,Attack the Light,FAMILY,4.7,19209,21M,"100,000+",Paid,$2.99,Everyone,Role Playing;Action & Adventure,"February 23, 2016",1.1.4,4.0 and up
5414,Gravidez ao Vivo,MEDICAL,,61,Varies with device,"1,000+",Paid,$2.99,Everyone,Medical,"March 11, 2014",1.5,2.2 and up
5465,AP Government Review,FAMILY,4.7,3,1.5M,"1,000+",Paid,$2.99,Everyone,Education,"March 14, 2017",1.1,4.0.3 and up
5466,"ap,wifi testing,iperf,ping,android,Bluetooth,tcp",TOOLS,4.7,3,5.3M,10+,Paid,$2.99,Everyone,Tools,"May 27, 2018",1.0.15,4.4 and up
5475,500 AP World History Questions,FAMILY,4.7,7,1.2M,100+,Paid,$9.99,Everyone,Education,"November 1, 2013",1.2,1.6 and up
5476,AP Themes for Kustom/KLWP,PERSONALIZATION,3.6,5,45M,500+,Paid,$1.49,Everyone,Personalization,"September 1, 2017",1.8.2,4.4 and up
5479,iScore5 AP Psych,FAMILY,2.9,10,73M,100+,Paid,$4.99,Everyone,Educational,"April 25, 2017",2.0,4.0.3 and up
5480,Glanceable Ap Watch Face,PERSONALIZATION,,0,11M,5+,Paid,$0.99,Everyone,Personalization,"August 14, 2016",1.0.103,4.4 and up
5482,meStudying: AP English Lit,FAMILY,5.0,1,655k,10+,Paid,$4.99,Everyone,Education,"August 31, 2013",1.3,2.0.1 and up
5486,AP Series Solution Pro,FAMILY,,0,7.4M,0+,Paid,$1.99,Everyone,Education,"July 30, 2017",1.3,4.0 and up
5489,AP Art History Flashcards,FAMILY,5.0,1,96M,10+,Paid,$29.99,Mature 17+,Education,"January 19, 2016",3.30,4.0 and up
5490,True Skate,SPORTS,4.4,129409,73M,"1,000,000+",Paid,$1.99,Everyone,Sports,"August 4, 2018",1.5.1,4.0.3 and up
5500,AQ Math Facts,FAMILY,,1,16M,1+,Paid,$2.99,Everyone,Educational,"May 17, 2017",1.0.3,4.0 and up
5557,Nightenfell: Shared AR,GAME,4.5,20,65M,"1,000+",Paid,$0.99,Everyone 10+,Action,"March 27, 2018",1.0.0,7.0 and up
5578,Sleep as Android Unlock,LIFESTYLE,4.5,23966,872k,"1,000,000+",Paid,$5.99,Everyone,Lifestyle,"June 27, 2018",20180608,4.0 and up
5586,Lullaby Add-on for Sleep as Android,HEALTH_AND_FITNESS,3.9,2057,6.2M,"50,000+",Paid,$1.99,Everyone,Health & Fitness,"October 18, 2017",2.4,4.0 and up
5627,Five Nights at Freddy's 2,FAMILY,4.6,73919,40M,"500,000+",Paid,$2.99,Teen,Strategy,"November 15, 2014",1.07,2.3 and up
5631,Five Nights at Freddy's,GAME,4.6,100805,50M,"1,000,000+",Paid,$2.99,Teen,Action,"December 2, 2014",1.85,2.3 and up
5641,Five Nights at Freddy's: SL,GAME,4.5,16162,99M,"100,000+",Paid,$2.99,Teen,Action,"April 6, 2017",1.2,2.3 and up
5645,Five Nights at Freddy's 4,GAME,4.6,21266,45M,"100,000+",Paid,$2.99,Teen,Action,"July 26, 2015",1.1,2.3 and up
5648,Five Nights at Freddy's 3,GAME,4.7,27856,50M,"100,000+",Paid,$2.99,Teen,Action,"April 2, 2015",1.07,2.3 and up
5660,BringGo AU & NZ,MAPS_AND_NAVIGATION,2.8,440,23M,"10,000+",Paid,$0.99,Everyone,Maps & Navigation,"May 10, 2018",2.5.9,2.3.3 and up
5701,AV Tools Pro,TOOLS,4.3,35,Varies with device,"1,000+",Paid,$2.49,Everyone,Tools,"September 22, 2016",Varies with device,Varies with device
5712,Ai-Ball AV Recorder,PHOTOGRAPHY,2.7,90,4.0M,"5,000+",Paid,$2.99,Everyone,Photography,"October 19, 2017",13,2.3.3 and up
5739,AW Toolbox,BUSINESS,,3,13M,100+,Paid,$19.90,Everyone,Business,"December 22, 2016",1.6.2,4.0 and up
5751,Analog Clock AW-7 PRO,TOOLS,3.3,40,2.7M,"1,000+",Paid,$1.99,Everyone,Tools,"March 7, 2018",2.0,4.3 and up
5756,Analog and Digital Clock AW-7PRO,TOOLS,,4,2.7M,100+,Paid,$1.99,Everyone,Tools,"March 15, 2018",2.0,4.3 and up
5767,Ultimate Watch 2 watch face,PERSONALIZATION,4.6,285,Varies with device,"10,000+",Paid,$0.99,Everyone,Personalization,"June 4, 2018",2.5.21,Varies with device
5772,Pujie Black Watch Face for Android Wear OS,PERSONALIZATION,4.6,7264,Varies with device,"100,000+",Paid,$1.99,Everyone,Personalization,"November 16, 2017",3.6.46,Varies with device
5777,F05WatchFace for Android Wear,PRODUCTIVITY,3.9,127,5.9M,"1,000+",Paid,$0.99,Everyone,Productivity,"December 24, 2017",7.0.1,4.3 and up
5804,INTERACTIVE CALCULUS PRO,FAMILY,,0,3.3M,10+,Paid,$0.99,Everyone,Education,"February 22, 2018",1.2,4.0.3 and up
5812,AX Watch for WatchMaker,PERSONALIZATION,,2,238k,1+,Paid,$0.99,Everyone,Personalization,"August 18, 2017",1.0,2.3 and up
5832,¡Ay Caramba!,FAMILY,,0,549k,1+,Paid,$1.99,Everyone,Education,"June 13, 2014",1.2,3.0 and up
5834,Ay Yıldız - Xperia Live Theme,PERSONALIZATION,,0,2.9M,10+,Paid,$0.99,Everyone,Personalization,"December 26, 2017",1.0.0,4.4 and up
5846,YAKALA AY,GAME,,0,14M,1+,Paid,$0.99,Everyone,Arcade,"July 7, 2018",1.0,4.1 and up
5847,Lunar Calendar,LIFESTYLE,4.5,484,Varies with device,"1,000+",Paid,$4.99,Mature 17+,Lifestyle,"July 17, 2018",Varies with device,Varies with device
5909,Greater London A-Z 2016,TRAVEL_AND_LOCAL,3.7,40,9.0M,"1,000+",Paid,$8.49,Everyone,Travel & Local,"August 18, 2016",1.0.1,4.1 and up
5911,Ba Financial Calculator plus,FINANCE,4.4,31,206k,"1,000+",Paid,$3.99,Everyone,Finance,"July 15, 2018",2.9.1,2.1 and up
5912,Financial Calculator BA Chien.,FINANCE,4.2,23,954k,500+,Paid,$3.99,Everyone,Finance,"December 14, 2016",1.9.10,3.0 and up
5914,BA Pro Financial Calculator,FINANCE,2.4,36,9.4M,"1,000+",Paid,$1.99,Everyone,Finance,"November 16, 2015",1.3.3,2.3 and up
5917,Ra Ga Ba,GAME,5.0,2,20M,1+,Paid,$1.49,Everyone,Arcade,"February 8, 2017",1.0.4,2.3 and up
5924,Alif Ba Ta Bullseye,FAMILY,,1,16M,5+,Paid,$1.99,Everyone,Educational,"May 30, 2016",1.1,2.2 and up
5927,Learn Quran with Elif Ba,FAMILY,,3,12M,100+,Paid,$1.49,Everyone,Education,"March 3, 2017",1.2,2.3 and up
5942,PROFESSOR SEE-BA LINGUAGENS E SUAS TECNOLOGIAS,PRODUCTIVITY,,0,3.7M,10+,Paid,$2.99,Everyone,Productivity,"December 1, 2017",1.0,4.0 and up
5945,Ain Arabic Kids Alif Ba ta,FAMILY,,0,33M,0+,Paid,$2.99,Everyone,Education,"April 15, 2016",1.0,3.0 and up
5955,Hunt Buddy BC,SPORTS,4.4,172,49M,"5,000+",Paid,$2.99,Everyone,Sports,"July 10, 2018",1.5,4.0.3 and up
5957,iHunter BC,SPORTS,4.4,55,63M,"1,000+",Paid,$4.49,Everyone,Sports,"August 3, 2018",2.0.38,4.0.3 and up
5959,iFish BC,SPORTS,3.6,25,6.0M,"1,000+",Paid,$3.99,Everyone,Sports,"February 18, 2015",2.1,2.3 and up
5961,Ice Crush 10.000 B.C.,FAMILY,4.4,31,4.2M,100+,Paid,$0.99,Everyone,Casual,"August 15, 2013",1.48,2.0 and up
5966,BC MVA Fines,BOOKS_AND_REFERENCE,5.0,5,7.2M,50+,Paid,$1.75,Everyone,Books & Reference,"October 8, 2015",1.0,4.1 and up
5973,Baby Connect (activity log),PARENTING,4.7,8343,8.3M,"50,000+",Paid,$4.99,Everyone,Parenting,"July 10, 2018",6.3.16,4.0.3 and up
5977,Car Driving Theory Test BC,FAMILY,,0,2.2M,10+,Paid,$1.49,Everyone,Education,"April 9, 2012",1.0,2.1 and up
5978,Truck Driving Test Class 3 BC,FAMILY,1.0,1,2.0M,50+,Paid,$1.49,Everyone,Education,"April 9, 2012",1.0,2.1 and up
5982,Business Calendar Pro,PRODUCTIVITY,4.6,27135,Varies with device,"100,000+",Paid,$4.99,Everyone,Productivity,"May 24, 2018",Varies with device,Varies with device
5994,BackCountry Navigator TOPO GPS PRO,MAPS_AND_NAVIGATION,4.5,6230,Varies with device,"100,000+",Paid,$11.99,Everyone,Maps & Navigation,"August 3, 2018",Varies with device,Varies with device
6056,Be Stronger,HEALTH_AND_FITNESS,4.8,787,53M,"1,000+",Paid,$1.99,Everyone,Health & Fitness,"July 31, 2018",1.4.7,4.0.3 and up
6088,Wolf of the BF:Commando MOBILE,GAME,3.4,32,27M,"1,000+",Paid,$0.99,Everyone 10+,Arcade,"March 23, 2017",1.00.10,4.0 and up
6102,My Virtual Boyfriend,FAMILY,4.3,105,51M,"1,000+",Paid,$0.99,Teen,Casual,"February 17, 2017",3.6,2.3.3 and up
6115,Droid PRoCon BF3,TOOLS,3.5,412,2.6M,"5,000+",Paid,$0.99,Everyone,Tools,"March 12, 2015",2.2,3.0 and up
6120,BeFunky Photo Editor Pro,PHOTOGRAPHY,4.5,4724,Varies with device,"50,000+",Paid,$1.99,Everyone,Photography,"August 14, 2017",Varies with device,Varies with device
6132,BG Monitor Diabetes Pro,MEDICAL,4.6,87,2.8M,500+,Paid,$5.99,Everyone,Medical,"April 23, 2017",8.0.1,4.4 and up
6140,Board Game Stats: Play tracking for tabletop games,LIFESTYLE,4.6,275,3.9M,"5,000+",Paid,$2.99,Everyone,Lifestyle,"July 17, 2018",2.8.3,4.1 and up
6179,Es-Bg Offline Voice Translator,TRAVEL_AND_LOCAL,,1,87M,10+,Paid,$1.49,Everyone,Travel & Local,"March 19, 2017",2.55,3.0 and up
6180,Baldur's Gate: Enhanced Edition,FAMILY,4.5,20101,7.8M,"100,000+",Paid,$9.99,Teen,Role Playing,"October 2, 2015",1.3,3.0 and up
6181,Shadow Fight 2 Special Edition,GAME,4.5,10440,86M,"50,000+",Paid,$4.99,Teen,Action,"May 30, 2018",1.0.3,4.1 and up
6198,Backgammon NJ for Android,GAME,4.4,1644,15M,"10,000+",Paid,$7.99,Everyone,Board,"April 5, 2017",4.1,2.3.3 and up
6201,CSCS BG (в български),FAMILY,2.4,7,2.1M,100+,Paid,$3.99,Everyone,Education,"March 23, 2017",1.0,4.0.3 and up
6202,LEGO ® Batman: Beyond Gotham,FAMILY,4.1,10758,8.0M,"100,000+",Paid,$4.99,Everyone 10+,Adventure;Action & Adventure,"December 15, 2015",Varies with device,4.0.3 and up
6205,Baldur's Gate II,FAMILY,4.3,5442,16M,"50,000+",Paid,$9.99,Teen,Role Playing,"June 28, 2018",2.5.16.6,3.0 and up
6217,BusyBox Pro,TOOLS,4.7,8114,Varies with device,"100,000+",Paid,$2.49,Everyone,Tools,"June 9, 2018",Varies with device,Varies with device
6252,Battleheart Legacy,FAMILY,4.6,7420,7.4M,"50,000+",Paid,$4.99,Teen,Role Playing,"November 10, 2014",1.2.5,4.1 and up
6277,Bi-Tank Ads Free,GAME,,0,Varies with device,1+,Paid,$0.99,Everyone,Arcade,"July 31, 2017",1.1,4.1 and up
6292,BI Barcode Scanner,PRODUCTIVITY,,0,473k,10+,Paid,$0.99,Everyone,Productivity,"June 13, 2014",2.2,2.2 and up
6311,BJ Bridge Pro 2018,GAME,4.4,17,4.8M,500+,Paid,$4.49,Everyone,Card,"May 21, 2018",6.2-pro,4.0 and up
6341,Blackjack Verite Drills,GAME,4.6,17,4.7M,100+,Paid,$14.00,Teen,Casino,"July 9, 2017",1.1.10,3.0 and up
6346,Phonics Puzzles,FAMILY,3.8,4,54M,100+,Paid,$2.99,Everyone,Educational,"August 27, 2016",1.8.2,2.3 and up
6361,Power Widget,TOOLS,4.2,928,383k,"10,000+",Paid,$1.99,Everyone,Tools,"March 20, 2014",3.4,2.2 and up
6366,SLANGY-Perfect BK World Theme,PERSONALIZATION,,1,14M,50+,Paid,$4.85,Everyone,Personalization,"September 11, 2013",1.0,2.2 and up
6389,Bk Bee Sales Manager,BUSINESS,,0,2.1M,5+,Paid,$0.99,Everyone,Business,"December 16, 2017",1.0,4.1 and up
6413,Chess of Blades (BL/Yaoi Game) (No VA),FAMILY,4.8,4,23M,10+,Paid,$14.99,Teen,Casual,"January 24, 2018",1.03,2.3.3 and up
6425,BL 1-Click Camera,PHOTOGRAPHY,,4,1.4M,100+,Paid,$3.99,Everyone,Photography,"August 18, 2016",2.0.160818,2.3 and up
6428,BL File Explorer,TOOLS,,1,421k,50+,Paid,$1.99,Everyone,Tools,"July 18, 2014",1.5.140718,1.5 and up
6429,BL IP-Camera,TOOLS,4.3,15,1.2M,100+,Paid,$3.99,Everyone,Tools,"June 5, 2014",1.3.140606,2.3 and up
6432,BL Holo Theme,PERSONALIZATION,4.4,18,2.1M,500+,Paid,$2.00,Everyone,Personalization,"July 1, 2013",1.0.3,2.1 and up
6440,MEGA MAN MOBILE,GAME,4.0,267,40M,"10,000+",Paid,$1.99,Everyone,Action,"February 17, 2017",1.02.01,4.0 and up
6446,BL PowerPoint Remote,TOOLS,4.3,33,1.0M,500+,Paid,$3.99,Everyone,Tools,"February 25, 2015",2.6.150226,2.3 and up
6457,Basket Manager 2018 Pro,SPORTS,3.7,84,6.3M,"1,000+",Paid,$2.99,Everyone,Sports,"April 17, 2018",3.7,4.4 and up
6459,BatControl Pro,TOOLS,4.9,83,3.1M,500+,Paid,$3.99,Everyone,Tools,"June 1, 2018",2.0.0,5.0 and up
6491,Basket Manager 2016 Pro,SPORTS,4.5,117,4.4M,"1,000+",Paid,$0.99,Everyone,Sports,"February 9, 2017",2.9,4.1 and up
6496,Basket Manager 2017 Pro,SPORTS,4.7,163,4.6M,"1,000+",Paid,$0.99,Everyone,Sports,"October 6, 2017",3.9,4.1 and up
6508,Sam.BN Pro,TOOLS,,11,2.0M,10+,Paid,$0.99,Everyone,Tools,"March 27, 2015",1.0.0,4.0.3 and up
6534,New York Mysteries (Full),GAME,4.5,514,5.9M,"5,000+",Paid,$6.99,Teen,Adventure,"June 4, 2018",1.0.36,4.0 and up
6538,The Legacy (Full),GAME,4.6,144,6.3M,"1,000+",Paid,$6.99,Everyone,Adventure,"May 15, 2018",1.0.9,4.0 and up
6547,Skip-Bo™,GAME,4.4,33661,60M,"100,000+",Paid,$2.99,Everyone,Card,"August 3, 2018",3.4.6,4.1 and up
6549,Beck & Bo: Toddler First Words,FAMILY,4.3,41,7.9M,"1,000+",Paid,$2.99,Everyone,Education;Pretend Play,"May 31, 2018",2.4.2,4.0.3 and up
6553,Bo's Bedtime Story,FAMILY,4.2,13,23M,"1,000+",Paid,$2.49,Everyone,Education;Pretend Play,"December 25, 2017",2.6,4.0.3 and up
6555,Sic Bo,GAME,,1,11M,100+,Paid,$1.99,Teen,Card,"August 27, 2013",1.0.0,2.2 and up
6559,Dr.Dice - Sic bo analyzer,FAMILY,,2,8.5M,10+,Paid,$46.99,Everyone,Entertainment,"November 5, 2016",1.0,4.0.3 and up
6560,Bo's Matching Game,FAMILY,,3,19M,"1,000+",Paid,$0.99,Everyone,Education;Brain Games,"December 28, 2017",1.4,4.0.3 and up
6565,Bo's Dinnertime Story,FAMILY,4.3,6,33M,"1,000+",Paid,$2.49,Everyone,Education;Pretend Play,"December 25, 2017",1.5,4.0.3 and up
6567,Socle Commun BO du 23-04-2015,LIBRARIES_AND_DEMO,,4,4.7M,100+,Paid,$0.99,Everyone,Libraries & Demo,"August 8, 2016",0.0.1,4.1 and up
6570,Bo's School Day,FAMILY,4.7,10,30M,"1,000+",Paid,$2.99,Everyone,Education;Pretend Play,"December 18, 2017",1.3,4.0.3 and up
6584,iBP Blood Pressure,MEDICAL,4.4,578,704k,"10,000+",Paid,$0.99,Everyone,Medical,"November 30, 2014",7.0.1,2.2 and up
6595,Blood Pressure Companion,MEDICAL,4.2,178,4.8M,"1,000+",Paid,$0.99,Everyone,Medical,"July 22, 2018",4.1.5 (Steglitz),4.1 and up
6596,Monitor My BP,HEALTH_AND_FITNESS,,0,4.6M,50+,Paid,$5.99,Everyone,Health & Fitness,"November 26, 2016",2.0.1,4.0 and up
6618,bpresso PRO,MEDICAL,4.4,515,Varies with device,"1,000+",Paid,$5.49,Everyone,Medical,"April 19, 2017",Varies with device,Varies with device
6624,BP Fitness Lead Scanner,EVENTS,,0,6.7M,1+,Paid,$109.99,Everyone,Events,"August 23, 2017",0.0.1,4.1 and up
6652,Camera FV-5,PHOTOGRAPHY,3.8,16317,Varies with device,"100,000+",Paid,$3.95,Everyone,Photography,"November 10, 2017",Varies with device,Varies with device
6675,Infinity Dungeon VIP,FAMILY,4.3,21804,44M,"1,000,000+",Paid,$0.99,Everyone 10+,Role Playing,"July 3, 2018",2.6.6,2.3 and up
6680,QR Code Pro,PRODUCTIVITY,4.8,5865,15M,"100,000+",Paid,$4.49,Everyone,Productivity,"July 18, 2018",1.0,4.1 and up
6687,TV Guide BR Gold,FAMILY,4.4,544,Varies with device,"5,000+",Paid,$1.49,Everyone,Entertainment,"August 20, 2017",Varies with device,Varies with device
6692,cronometra-br,PRODUCTIVITY,,0,5.4M,0+,Paid,$154.99,Everyone,Productivity,"November 24, 2017",1.0.0,4.1 and up
6722,BSPlayer,VIDEO_PLAYERS,4.2,4585,Varies with device,"50,000+",Paid,$5.99,Everyone,Video Players & Editors,"March 30, 2018",Varies with device,Varies with device
6732,BS Match Maker Premium,TOOLS,,3,319k,10+,Paid,$0.99,Everyone,Tools,"July 10, 2018",1.11.2,5.0 and up
6753,BS Detector - Diss 'n' Gauges,FAMILY,,0,842k,50+,Paid,$1.49,Everyone,Entertainment,"February 22, 2013",1.3,2.2 and up
6760,17th Edition Cable Sizer,BOOKS_AND_REFERENCE,4.4,47,1.4M,"1,000+",Paid,$3.08,Everyone,Books & Reference,"May 27, 2016",1.22,2.2 and up
6766,Little Magnet BT Pro,TOOLS,4.6,251,3.8M,"1,000+",Paid,$0.99,Everyone,Tools,"August 5, 2018",4.1.4,4.2 and up
6796,Battery Notifier Pro BT,TOOLS,4.7,1363,1.6M,"10,000+",Paid,$2.59,Everyone,Tools,"June 7, 2017",2.5.18,1.6 and up
6808,BT Speed,SPORTS,,3,948k,10+,Paid,$4.80,Everyone,Sports,"May 21, 2015",1.0.1,4.0.3 and up
6809,USB BT Wi-Fi Color Terminal Modem,TOOLS,,0,7.3M,5+,Paid,$8.99,Everyone,Tools,"February 9, 2018",5.3,3.2 and up
6837,SkyTest BU/GU Lite,BUSINESS,2.9,28,20M,500+,Paid,$17.99,Everyone,Business,"October 24, 2017",2.0.5,3.0 and up
6886,My Budget Book,FINANCE,4.7,19784,7.3M,"100,000+",Paid,$2.99,Everyone,Finance,"June 13, 2018",7.6,4.0 and up
6895,BW-Go,GAME,4.8,265,1.3M,"1,000+",Paid,$3.49,Everyone,Board,"June 18, 2015",4.8.1,2.3 and up
6897,Watch Face BW Inter,PERSONALIZATION,3.1,112,8.8M,"1,000+",Paid,$0.99,Everyone,Personalization,"April 26, 2017",2.1.7,4.3 and up
6911,Beautiful Widgets Pro,PERSONALIZATION,4.2,97890,14M,"1,000,000+",Paid,$2.49,Everyone,Personalization,"August 24, 2016",5.7.8,2.3 and up
6919,HD Widgets,PERSONALIZATION,4.3,58614,26M,"1,000,000+",Paid,$0.99,Everyone,Personalization,"December 7, 2016",4.3.2,4.4 and up
6925,BlackCam Pro - B&W Camera,PHOTOGRAPHY,4.5,1376,5.5M,"100,000+",Paid,$1.49,Everyone,Photography,"March 26, 2018",1.51,4.0 and up
6929,Color Changer Pro [root],PERSONALIZATION,4.5,69,951k,"1,000+",Paid,$0.99,Everyone,Personalization,"January 12, 2017",1.11,4.4 and up
6936,Hitman GO,FAMILY,4.6,84114,23M,"500,000+",Paid,$0.99,Everyone 10+,Puzzle,"July 5, 2018",1.13.108869,2.3.3 and up
6943,Bixby Button Remapper - bxActions Pro / Coffee,TOOLS,3.9,319,25k,"10,000+",Paid,$2.99,Everyone,Tools,"April 28, 2017",1.00,7.0 and up
6948,Bitcoin BX Thailand PRO,FINANCE,1.7,21,21M,100+,Paid,$4.99,Everyone,Finance,"October 22, 2017",5.0,4.0.3 and up
6974,Lollipop Launcher Plus,PERSONALIZATION,4.1,131,27k,"1,000+",Paid,$4.99,Everyone,Personalization,"March 8, 2015",1.0,4.0.3 and up
6985,Trinomial Factoring Wizard,TOOLS,4.0,22,82k,"1,000+",Paid,$0.99,Everyone,Tools,"October 10, 2014",2.4,2.3 and up
7037,BZ Reminder PRO,BUSINESS,4.8,726,5.4M,"1,000+",Paid,$3.99,Everyone,Business,"December 20, 2017",2.3.3,4.1 and up
7097,California Cop Assist CA Cop,PRODUCTIVITY,3.0,5,7.0M,100+,Paid,$4.99,Everyone,Productivity,"February 11, 2014",1.3,2.2 and up
7100,CA Speakers,LIFESTYLE,5.0,12,1.2M,100+,Paid,$0.99,Teen,Lifestyle,"March 25, 2014",1.0,3.0 and up
7107,CB Frequencies,TOOLS,4.0,5,1.4M,100+,Paid,$0.99,Everyone,Tools,"December 24, 2015",1.0,4.0.3 and up
7145,Antenna Tool Premium,TOOLS,4.5,14,2.9M,500+,Paid,$0.99,Everyone,Tools,"October 26, 2017",2.2,4.0.3 and up
7148,Frequencies,TOOLS,4.2,11,3.1M,500+,Paid,$0.99,Everyone,Tools,"February 4, 2018",1.9,4.0.3 and up
7165,My Movies Pro - Movie & TV Collection Library,LIFESTYLE,4.6,6477,20M,"10,000+",Paid,$7.99,Everyone,Lifestyle,"July 16, 2018",2.26 Build 17,4.1 and up
7183,Билеты ПДД CD 2019 PRO,AUTO_AND_VEHICLES,,21,16M,100+,Paid,$1.49,Everyone,Auto & Vehicles,"July 27, 2018",1.49,4.0 and up
7193,CE Map - Interactive Conan Exiles Map,MAPS_AND_NAVIGATION,4.5,62,1.6M,"1,000+",Paid,$0.99,Everyone,Maps & Navigation,"June 30, 2018",1.3,4.0 and up
7196,PAC-MAN CE DX,GAME,4.5,1692,36M,"10,000+",Paid,$4.99,Everyone,Arcade,"April 23, 2018",1.1.0,4.0.3 and up
7198,Theatre of the Absurd CE(Full),FAMILY,4.1,1143,15M,"10,000+",Paid,$2.99,Everyone 10+,Casual,"May 21, 2013",1.0,2.0.1 and up
7204,TI-84 CE Graphing Calculator Manual TI 84,FAMILY,5.0,1,27M,100+,Paid,$4.99,Everyone,Education,"March 28, 2018",1.5.2,4.1 and up
7211,AC CE BJT Actorial,FAMILY,,1,1.4M,50+,Paid,$2.00,Everyone,Education,"September 27, 2015",2.4,1.6 and up
7215,Depths of Betrayal CE (Full),FAMILY,4.3,363,14M,"1,000+",Paid,$2.99,Everyone 10+,Casual,"August 19, 2013",1.0.0,2.3 and up
7225,CE Genius Nurses Edition,MEDICAL,,0,5.1M,1+,Paid,$3.99,Everyone,Medical,"June 1, 2018",1.5,4.0.3 and up
7233,"Führerschein Klasse CE, LKW 2018",FAMILY,,57,Varies with device,"1,000+",Paid,$2.49,Everyone,Education,"April 9, 2018",4.2.0,Varies with device
7237,CF-Bench Pro,TOOLS,4.6,159,29k,"1,000+",Paid,$1.49,Everyone,Tools,"June 23, 2011",1.1,1.6 and up
7244,Next Launcher 3D Bold-CF Theme,PERSONALIZATION,4.4,175,5.5M,"1,000+",Paid,$0.99,Everyone,Personalization,"January 11, 2014",1.042,2.2 and up
7255,Squeezy CF,MEDICAL,,0,1.4M,10+,Paid,$2.99,Everyone,Medical,"April 26, 2017",1.2.11,4.0 and up
7328,"Ultimate Public Campgrounds (Over 37,100 in US&CA)",TRAVEL_AND_LOCAL,4.7,213,6.1M,"5,000+",Paid,$3.99,Everyone,Travel & Local,"August 5, 2018",1.8.8.0,4.4 and up
7332,Weather Data CH,WEATHER,,15,Varies with device,500+,Paid,$2.99,Everyone,Weather,"August 9, 2016",Varies with device,Varies with device
7333,Dots puzzle,FAMILY,4.0,179,14M,"50,000+",Paid,$0.99,Everyone,Puzzle,"April 18, 2018",,4.0 and up
7335,Dive-Store.ch,SPORTS,,0,6.3M,5+,Paid,$1.99,Everyone,Sports,"July 25, 2018",2.0.4,4.0 and up
7336,FAV KWGT,PERSONALIZATION,4.9,88,66M,"1,000+",Paid,$0.99,Everyone,Personalization,"July 26, 2018",8.0,5.0 and up
7339,"Reading Race 1b: sh, ch words",FAMILY,,2,76M,50+,Paid,$3.99,Everyone,Educational;Education,"January 8, 2016",1.01,4.0 and up
7342,Speech Therapy: CH,FAMILY,,0,14M,10+,Paid,$1.99,Everyone,Education,"October 8, 2016",1.0,2.3.3 and up
7346,ch-mm Dict,BOOKS_AND_REFERENCE,,0,1.4M,10+,Paid,$1.96,Everyone,Books & Reference,"July 18, 2014",1.0,2.3 and up
7347,boattheory.ch Full 2018,FAMILY,4.7,54,50M,"1,000+",Paid,$19.40,Everyone,Education,"November 18, 2017",3.1.2,4.2 and up
7355,Threema,COMMUNICATION,4.5,51110,Varies with device,"1,000,000+",Paid,$2.99,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
7356,Battery HD Pro,TOOLS,4.7,17861,Varies with device,"100,000+",Paid,$3.99,Everyone,Tools,"May 6, 2018",Varies with device,Varies with device
7357,DRAGON QUEST IV,FAMILY,4.7,1647,16M,"10,000+",Paid,$14.99,Everyone,Role Playing,"February 28, 2017",1.0.5,2.3 and up
7359,Automagic * Automation,TOOLS,4.7,1947,Varies with device,"10,000+",Paid,$3.90,Everyone,Tools,"May 19, 2018",Varies with device,Varies with device
7360,FlashLight HD LED Pro,TOOLS,4.7,4928,Varies with device,"50,000+",Paid,$2.99,Everyone,Tools,"July 28, 2018",Varies with device,Varies with device
